episode_id,policy_model,checkpoint_variant,task,object,tote_placement,external_camera,created_ts_ns,utc_date,session_id,meta_source_path,meta_sha256,static_source_path,static_sha256,initial_item_count
000000000010,groot,270226-ee_rot6d_rel:150000,Pick all the items one by one from transparent tote and place them into the large grey tote.,Batteries,right,right,1774346772610860549,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000010/meta.json,ceec6b22a89937d7780e6b21549d00054b44f72c6863dbc0575135a7968bba32,phail/v1.0/dataset/rollouts/000000000000/000000000010/static.json,19a2facc5eefbcf3ac7c37e1378f1e724f65cdb5ccb3fc7b79b48348709c5c74,8
000000000011,openpi,270226-ee:199999,Pick all the items one by one from transparent tote and place them into the large grey tote.,Batteries,right,right,1774347096648576820,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000011/meta.json,958f229acf672cc97a439b2e27ab521fe64735b579ce1d3fa69efd38fb0b473c,phail/v1.0/dataset/rollouts/000000000000/000000000011/static.json,86aa1eaffef57e33f12f78b43e4ea12b5922c7b55bf38e7553047afb620500d5,8
000000000012,smolvla,170316_ee:200000,Pick all the items one by one from transparent tote and place them into the large grey tote.,Batteries,right,right,1774347368358381601,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000012/meta.json,d729cdff383afc001ebc35aae094c6dd25e774287b8600e94b109b555f0b3198,phail/v1.0/dataset/rollouts/000000000000/000000000012/static.json,8b14ced8a8c453964ab3401a56a6ea9cf74f4049c0fcdbc38de9493fb5187b7c,8
000000000013,groot,270226-ee_rot6d_rel:150000,Pick all the items one by one from transparent tote and place them into the large grey tote.,Batteries,right,right,1774347466382335959,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000013/meta.json,48ae4df230b8457bd376ab59eea4ee07fb25817a2ce463fa9a7070c4a8c3d029,phail/v1.0/dataset/rollouts/000000000000/000000000013/static.json,73437aa6634d5cb022b5eb28493c8858b9381abffff1940fad16cb377b18e9d3,8
000000000014,groot,270226-ee_rot6d_rel:150000,Pick all the items one by one from transparent tote and place them into the large grey tote.,Batteries,right,right,1774347744850040390,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000014/meta.json,eab2be5592fd1108738d5fa9d4945e746c992e4a576e772d95493e9d86252bf7,phail/v1.0/dataset/rollouts/000000000000/000000000014/static.json,6c4d2fb548eec671d3915e72d5912b208c1adef25608ae882c4f1ef0d74cb174,8
000000000015,groot,270226-ee_rot6d_rel:150000,Pick all the items one by one from transparent tote and place them into the large grey tote.,Batteries,right,right,1774348018258705187,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000015/meta.json,4adf125d08abf23415bfdec3c093a96a8647640a6c7b2e540d62b65b9318404e,phail/v1.0/dataset/rollouts/000000000000/000000000015/static.json,bf3f6c098889a58f92f6952bdc308079fb1561c7e0277154a47ab2105b8c561a,8
000000000016,smolvla,170316_ee:200000,Pick all the items one by one from transparent tote and place them into the large grey tote.,Batteries,right,right,1774348300859140737,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000016/meta.json,fde614d14f4a6729dabfdc0c07450fb39450b732c505ff6b7cf6bff37e6fde6e,phail/v1.0/dataset/rollouts/000000000000/000000000016/static.json,a8234bde7a1e729a5aba34446c8ed3c4626ccb20a168645b793d881af3a72f69,8
000000000017,smolvla,170316_ee:200000,Pick all the items one by one from transparent tote and place them into the large grey tote.,Batteries,right,right,1774348569440792043,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000017/meta.json,e0fa95fa6f27d289354e86d09f46875a9006f0144d6d9387abd542578cf61563,phail/v1.0/dataset/rollouts/000000000000/000000000017/static.json,4745f05da5a1baa79ac01e066a30f2efe8746dffe40dfcc1c7b332242e5d4912,8
000000000018,groot,270226-ee_rot6d_rel:150000,Pick all the items one by one from transparent tote and place them into the large grey tote.,Batteries,left,left,1774348969363473049,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000018/meta.json,35d764fe968b27ef0ccd08687b6096aea55e1f08c666ef4cb12cf94d66889b81,phail/v1.0/dataset/rollouts/000000000000/000000000018/static.json,bf59b759ee0fec4b77c85c1745f159d699fe130fd1419163ad3a440fbd672721,8
000000000019,groot,270226-ee_rot6d_rel:150000,Pick all the items one by one from transparent tote and place them into the large grey tote.,Batteries,left,left,1774349239791522254,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000019/meta.json,6bc0d41423819fd2fda63ea95b427179c381ab24c4184c0e8c68cd328ae1a6b0,phail/v1.0/dataset/rollouts/000000000000/000000000019/static.json,99fbefedcb34464d50b113669edf2a7a7c3d2b8e17cab07799de4f16dd44fb43,8
000000000020,smolvla,170316_ee:200000,Pick all the items one by one from transparent tote and place them into the large grey tote.,Batteries,left,left,1774349542348111346,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000020/meta.json,b473c2d4d76ac1d9c3f47a2f1aa049dd2d381ad0970220a8980a078db30ee06f,phail/v1.0/dataset/rollouts/000000000000/000000000020/static.json,6c44b61cab8c53ce645ac045cc0ed339ef62e55c7db8781bc553d3258b278ddd,8
000000000021,smolvla,170316_ee:200000,Pick all the items one by one from transparent tote and place them into the large grey tote.,Batteries,left,left,1774349806528247019,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000021/meta.json,28bfcef2130cf71f45cb25c60ffa7d762428dc2c1104a1731f3d17d0292c31e8,phail/v1.0/dataset/rollouts/000000000000/000000000021/static.json,207e8ec336c9a4bfdd5e8dc366df391b2d7019a5e5b5c22bb0835305828e2897,8
000000000022,groot,270226-ee_rot6d_rel:150000,Pick all the items one by one from transparent tote and place them into the large grey tote.,Batteries,left,left,1774350037569333930,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000022/meta.json,7fc6be316a74841f7f717c18ac4b99062444e7b61b16732b9e09bf3bc5f1ad9c,phail/v1.0/dataset/rollouts/000000000000/000000000022/static.json,d8b25f392a508e5abf02edd2ac4792cc0c85ca21d425d394a588aa28e2f5e89a,8
000000000023,smolvla,170316_ee:200000,Pick all the items one by one from transparent tote and place them into the large grey tote.,Batteries,left,left,1774350307186770098,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000023/meta.json,40288a00e9ceccfe33dd009ffc810af5679a1b2eea2e463bf28ff867d1696bd9,phail/v1.0/dataset/rollouts/000000000000/000000000023/static.json,83c6fa6c4765976e6590dbe794e1ae7181706383258e21bbfcae19c3f44abfa7,8
000000000024,openpi,270226-ee:199999,Pick all the items one by one from transparent tote and place them into the large grey tote.,Batteries,left,left,1774350572553783653,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000024/meta.json,0f47ab74647049a537213feff426ebb839bfb983af04012bbca4f764899c3329,phail/v1.0/dataset/rollouts/000000000000/000000000024/static.json,3f1f9cbaaf21c9e08f32df867112a3d0517ffa65828889d9093fec68011542b6,8
000000000025,groot,270226-ee_rot6d_rel:150000,Pick all the items one by one from transparent tote and place them into the large grey tote.,Batteries,left,left,1774350892206865810,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000025/meta.json,9dbfb3d53c37c299e23ea7699ff42ae428fcf30c310b6a6bde826d51ef6ec9b8,phail/v1.0/dataset/rollouts/000000000000/000000000025/static.json,97e267a401a1eefdf6a684289287e17413a8a32d80ffb1287ee7bda627396b22,8
000000000026,groot,270226-ee_rot6d_rel:150000,Pick all the items one by one from transparent tote and place them into the large grey tote.,Batteries,left,left,1774351172328842036,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000026/meta.json,8da943a9a227902ce7dda83936757bfadd5374e1735936c4de91cce72e4922ee,phail/v1.0/dataset/rollouts/000000000000/000000000026/static.json,a65dbcb71b4f4d6af75f386a1562fb780839476f8757d4737939065176967e84,8
000000000027,act,270226-ee:220000,Pick all the items one by one from transparent tote and place them into the large grey tote.,Batteries,left,left,1774351468520232120,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000027/meta.json,af0581aa466a90e4d749cc37359dc8e6a1bfb1e2414ceab8a79ebcce28be8bca,phail/v1.0/dataset/rollouts/000000000000/000000000027/static.json,f25b6514396846611a9b776778346519b86c44b7cccd8ab8fac39553d0dbbdd8,8
000000000028,act,270226-ee:220000,Pick all the items one by one from transparent tote and place them into the large grey tote.,Batteries,left,left,1774351749913925145,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000028/meta.json,5a644b9b88dd7e1dce7a483dcd80ac1945342a124a89a7be66876cb07fc90524,phail/v1.0/dataset/rollouts/000000000000/000000000028/static.json,2ff1ab0d64d7d4652684fae2f7eb137cf98619716c665a5392770aaffd36efe0,8
000000000029,smolvla,170316_ee:200000,Pick all the items one by one from transparent tote and place them into the large grey tote.,Batteries,left,left,1774352010031605662,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000029/meta.json,3799f737d3d1f6367fccc2b91b9e7569db5d38c56ec1ba09703e4c61c5896012,phail/v1.0/dataset/rollouts/000000000000/000000000029/static.json,db8830d58d35cfeac771d816a4b89011e910f3e4c05f43fa9d09e2feadac44dc,8
000000000030,smolvla,170316_ee:200000,Pick all the items one by one from transparent tote and place them into the large grey tote.,Batteries,left,left,1774352268835338879,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000030/meta.json,6587ae18e8475a6ca5f01c3f57206c242c14f729ec8ca38a3ddb961ccc44a7d5,phail/v1.0/dataset/rollouts/000000000000/000000000030/static.json,d7f060d51e275350a2af3b2eb756dd6d78746275815e947a393e0b9714999f7c,8
000000000031,smolvla,170316_ee:200000,Pick all the items one by one from transparent tote and place them into the large grey tote.,Scissors,right,right,1774352926758821160,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000031/meta.json,b5c9aae5cf1235f12fb3458f38fa2323d2421bbdc06dfbb9eb162c5ca70274d6,phail/v1.0/dataset/rollouts/000000000000/000000000031/static.json,4997b208fe6e07f7dc046c519f11167433043ddbf112957992f132a5aab1e5f4,8
000000000032,smolvla,170316_ee:200000,Pick all the items one by one from transparent tote and place them into the large grey tote.,Scissors,right,right,1774353030342509205,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000032/meta.json,cce62eb68a6adfadfe6276b41b555ea552deb69eb72d29b906abb6f78684a4c4,phail/v1.0/dataset/rollouts/000000000000/000000000032/static.json,3d8e1451897523dba1eb1aabd8d77fc12f0ec3211f979e216d060288a039c5e7,8
000000000033,groot,270226-ee_rot6d_rel:150000,Pick all the items one by one from transparent tote and place them into the large grey tote.,Scissors,right,right,1774353224532299486,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000033/meta.json,aecde1548bda5ce733ba3fd4e3a7f7ef3549f5744a729ca8b9a0a79fc9d36617,phail/v1.0/dataset/rollouts/000000000000/000000000033/static.json,f48534b03cadc25c198f022ecb08e1c5a80a225aa12570c5d95fdb65ca2f5e19,8
000000000034,groot,270226-ee_rot6d_rel:150000,Pick all the items one by one from transparent tote and place them into the large grey tote.,Scissors,right,right,1774353497019368156,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000034/meta.json,9a35b41d10ee7ad08645812d747592b73f2c17e8e324c2a29e58ff182b81e40d,phail/v1.0/dataset/rollouts/000000000000/000000000034/static.json,4db01e5a9a05fae4858efd62aeacac70b7b78862717be6b90d0d6b3e839923eb,8
000000000035,smolvla,170316_ee:200000,Pick all the items one by one from transparent tote and place them into the large grey tote.,Scissors,right,right,1774353783770768235,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000035/meta.json,d73c393de9b21a49d14ca26e00eb3bf99b69d19d61d794def8e45f28c23bd4c0,phail/v1.0/dataset/rollouts/000000000000/000000000035/static.json,1f90ebc04fbe8dfd56d332aa7886cd5f22106025d3ebf3bbd4ef82b74e334c24,8
000000000036,smolvla,170316_ee:200000,Pick all the items one by one from transparent tote and place them into the large grey tote.,Scissors,right,right,1774354054966972932,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000036/meta.json,a1cf3aed18a8058fa58ae6612e901140eb16cc72ea0c47aded02a8880bef8c37,phail/v1.0/dataset/rollouts/000000000000/000000000036/static.json,246b105b4488c8c90413f55bb198ef332fed395e7e7b909e70e320df6ac327c4,8
000000000037,groot,270226-ee_rot6d_rel:150000,Pick all the items one by one from transparent tote and place them into the large grey tote.,Scissors,right,right,1774354328198858949,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000037/meta.json,d944d893befe96853a4b0afc887f0d5da8d932892eabb10c61f0e28cd77c394c,phail/v1.0/dataset/rollouts/000000000000/000000000037/static.json,f0fc486c9f52553856f14e11c9532eb1a5839c6e625a2f41bb5631aaf7576b2a,8
000000000038,openpi,270226-ee:199999,Pick all the items one by one from transparent tote and place them into the large grey tote.,Scissors,right,right,1774354604439589306,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000038/meta.json,7c4a4b87738cce1e7f683a071f3a1ac6b9f449778ac4a2c1d18fb79b73b7ad6b,phail/v1.0/dataset/rollouts/000000000000/000000000038/static.json,b51c0033aef986acc3e3dd1dc839e1e19d43789b96e2d91ab17cf721718535a8,8
000000000039,groot,270226-ee_rot6d_rel:150000,Pick all the items one by one from transparent tote and place them into the large grey tote.,Scissors,right,right,1774354879444658100,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000039/meta.json,2692aadd2930f39e5541cc53140f78655406bd5a1cc216b73844f59a15aa52c3,phail/v1.0/dataset/rollouts/000000000000/000000000039/static.json,b2c94fd528bc2e0a0321f63485d0aa85859b070f319a4bdb9de717ea284fdcf5,8
000000000040,openpi,270226-ee:199999,Pick all the items one by one from transparent tote and place them into the large grey tote.,Scissors,right,right,1774355166211611808,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000040/meta.json,181bca70c52bc74b0b2f02d73b9ad531ffcc5a10ad6ace1ce1c67a981537cb3d,phail/v1.0/dataset/rollouts/000000000000/000000000040/static.json,3ddc66dfe5e9fa170a0af289d6bd23afc472ab8d2834b9d26338e924e91ab72e,8
000000000041,smolvla,170316_ee:200000,Pick all the items one by one from transparent tote and place them into the large grey tote.,Scissors,right,right,1774355430634169995,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000041/meta.json,6b6dfe7800223166a01d4def1c4eedfbd4481ba8e1d1043a55077fee89039a09,phail/v1.0/dataset/rollouts/000000000000/000000000041/static.json,313a21e38cc26f606f95118c65786e4ed2583a33d7784e9f0a1044cd93812b13,8
000000000042,groot,270226-ee_rot6d_rel:150000,Pick all the items one by one from transparent tote and place them into the large grey tote.,Scissors,right,right,1774355737966036885,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000042/meta.json,2c4ad07bf286a15f16eb40f779c9a81ca6d5ec458438a2edc7c76099b962d6ba,phail/v1.0/dataset/rollouts/000000000000/000000000042/static.json,2fd60ef595c3876e05f162e66cf257974858bd4246bbb7036101349930f8bbcc,8
000000000043,act,270226-ee:220000,Pick all the items one by one from transparent tote and place them into the large grey tote.,Scissors,right,right,1774356002192457707,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000043/meta.json,1229464a2f86cc733c624364a629b79fda8bec22488049ae306db0bb3c1ced70,phail/v1.0/dataset/rollouts/000000000000/000000000043/static.json,c3a2b300922f1710ff4acddbfcad7a46a4db050a7dffe4ce179d853318c86787,8
000000000044,act,270226-ee:220000,Pick all the items one by one from transparent tote and place them into the large grey tote.,Scissors,right,right,1774356286881764338,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000044/meta.json,67e48829b56956daff5e0674690f143299f964b5a5e34198b741f68dca96556b,phail/v1.0/dataset/rollouts/000000000000/000000000044/static.json,871640750fab0b2b4f62edf3885d76ab92b5b242e26b294beec1af4e2db82774,8
000000000045,openpi,270226-ee:199999,Pick all the items one by one from transparent tote and place them into the large grey tote.,Wooden spoons,left,left,1774356876410652189,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000045/meta.json,a9f97677117201b481f52c27440f58c39beb2e63347e475b27aac735e349d39b,phail/v1.0/dataset/rollouts/000000000000/000000000045/static.json,18fc801733dc94825ddb94a75e7eeef7056de5e77c0adfb228d947271d127760,8
000000000046,groot,270226-ee_rot6d_rel:150000,Pick all the items one by one from transparent tote and place them into the large grey tote.,Wooden spoons,left,left,1774357143490791171,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000046/meta.json,921838c43ab33f9d7754d5586089b24d4560fdbd3904fc499e6955d949844cd5,phail/v1.0/dataset/rollouts/000000000000/000000000046/static.json,b6f4f81b99bf4d5f0a88d0023f720ea217783a1622acf222cae7f0ce39be4cbb,8
000000000047,openpi,270226-ee:199999,Pick all the items one by one from transparent tote and place them into the large grey tote.,Wooden spoons,left,left,1774357362138737815,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000047/meta.json,0b5ecd98c4b947c665b2eff1145dfab50fdb112b06d85c761966a41fb37582f7,phail/v1.0/dataset/rollouts/000000000000/000000000047/static.json,db3bf049bf330f50a54db51cfe76d0db4c0d037c82437737adfb5b874c941a93,8
000000000048,openpi,270226-ee:199999,Pick all the items one by one from transparent tote and place them into the large grey tote.,Wooden spoons,left,left,1774357640751448687,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000048/meta.json,94913a44062c090c6c6a961e392be700e3da36a30389e4ed6f9165547804e48d,phail/v1.0/dataset/rollouts/000000000000/000000000048/static.json,60935dd7cabeb16c7cfa26e8707ece7fcc073e2e0bb110e10467ce84c63bd2dd,8
000000000049,groot,270226-ee_rot6d_rel:150000,Pick all the items one by one from transparent tote and place them into the large grey tote.,Wooden spoons,left,left,1774357945835104940,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000049/meta.json,b0db37535048357956fe981d344388d37abb4b03474a5d592a7e423bd2f13499,phail/v1.0/dataset/rollouts/000000000000/000000000049/static.json,d391e4adfb29a2253ae34317c5530760798312c3fae1b5894452b1f254874d28,8
000000000050,smolvla,170316_ee:200000,Pick all the items one by one from transparent tote and place them into the large grey tote.,Wooden spoons,left,left,1774358434165451183,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000050/meta.json,5f5d210ec78632692638754af0169e204df8a35ffabb6f219e6b215340e8dfda,phail/v1.0/dataset/rollouts/000000000000/000000000050/static.json,b7c55f0a67d33889b14782c03c4e9beb2447eec78e0e5a0c06843c46c519a000,8
000000000051,act,270226-ee:220000,Pick all the items one by one from transparent tote and place them into the large grey tote.,Wooden spoons,left,left,1774359623926871535,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000051/meta.json,ff5d0835f35c88fad9c49e537512bbf6751f064384427cae347d5dfd715904b5,phail/v1.0/dataset/rollouts/000000000000/000000000051/static.json,e9662d2c97ee144b32697d0d300da1ea32370b941d642f6c32542403573a114d,8
000000000052,groot,270226-ee_rot6d_rel:150000,Pick all the items one by one from transparent tote and place them into the large grey tote.,Wooden spoons,left,left,1774359888528325552,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000052/meta.json,b90974b996a00d3262bc205d1fbd104a06f69e342f63d697c5cf6f5be681e5ef,phail/v1.0/dataset/rollouts/000000000000/000000000052/static.json,e2afc96c2d386aca048257ef5ffe52c9862839d253a6612dbb22af84283032e4,8
000000000053,openpi,270226-ee:199999,Pick all the items one by one from transparent tote and place them into the large grey tote.,Wooden spoons,left,left,1774360164608325405,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000053/meta.json,9b3183632f399d8135743c097c0f1ff362f0a19e3217e8f534fb09babb9a1ce7,phail/v1.0/dataset/rollouts/000000000000/000000000053/static.json,7b09399cad030456eda7ece055f2b5bd8a1feded2f8d89902e0452c2d50b7e9d,8
000000000054,groot,270226-ee_rot6d_rel:150000,Pick all the items one by one from transparent tote and place them into the large grey tote.,Wooden spoons,left,left,1774360444621103623,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000054/meta.json,277eee0b5ee9e88de41a2b4dd7760339c3596dfc198408c477b4a03f04bb07ee,phail/v1.0/dataset/rollouts/000000000000/000000000054/static.json,c44755696762d47cc69aa0b496d54b71018cdd689de1446669dce39c731418b0,8
000000000055,groot,270226-ee_rot6d_rel:150000,Pick all the items one by one from transparent tote and place them into the large grey tote.,Wooden spoons,left,left,1774360674889660553,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000055/meta.json,0232265cb2a151c6d074d4017ff9bf1d9123f0d32cc428f7a8325fa0737282d0,phail/v1.0/dataset/rollouts/000000000000/000000000055/static.json,ccd5fbf5eba3f06a0f51308aff2ed02ac0053f92ecdbd529cb24b7524c73e83a,8
000000000056,act,270226-ee:220000,Pick all the items one by one from transparent tote and place them into the large grey tote.,Wooden spoons,left,left,1774360994455890982,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000056/meta.json,2192d874990ab5441331501da6447ca7f9ee89288bc636f3b89af0818b88dead,phail/v1.0/dataset/rollouts/000000000000/000000000056/static.json,2b4e5944e3b93924a2ef5e9dcc893911c2fdf325bc10246f9bbca8d451e9c354,8
000000000057,groot,270226-ee_rot6d_rel:150000,Pick all the items one by one from transparent tote and place them into the large grey tote.,Wooden spoons,left,left,1774361282472466427,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000057/meta.json,adc00cef0629ce8cdf44098750328800d8c974d9733eda8521c5ba9de00f6a43,phail/v1.0/dataset/rollouts/000000000000/000000000057/static.json,311b6f0592a2c15e547eaf87fb4b129bb8bbc2a88c922dd7d8840074582bbf5e,8
000000000058,groot,270226-ee_rot6d_rel:150000,Pick all the items one by one from transparent tote and place them into the large grey tote.,Wooden spoons,right,left,1774361665405638530,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000058/meta.json,a73203cdf7c1fe55682d239a72a752b37a674b308ab30b2011d5cee5072ddf8c,phail/v1.0/dataset/rollouts/000000000000/000000000058/static.json,fe612bf34d729380f6a4cacfc6b4efa67b32181a7eb2f533c8a42fcbb643af7e,8
000000000059,act,270226-ee:220000,Pick all the items one by one from transparent tote and place them into the large grey tote.,Wooden spoons,right,left,1774361915498868091,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000059/meta.json,229062daee97c5ebf6a19dc5a3e21a4449233a69f8c1b7ac307208249aa44876,phail/v1.0/dataset/rollouts/000000000000/000000000059/static.json,e73ff1d6d93a96f8a263e0e15eb00e54c32fef5b2ab9d915cac35a158f5e876f,8
000000000060,groot,270226-ee_rot6d_rel:150000,Pick all the items one by one from transparent tote and place them into the large grey tote.,Wooden spoons,right,left,1774362239957642607,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000060/meta.json,7ddaeb3161a9b2a26bab3c5b257ef0fc80426f5a8eeaf9086646cb52d5d0d953,phail/v1.0/dataset/rollouts/000000000000/000000000060/static.json,c287206c86b0590dccea37f767ae0350e90b2c8c530c1cf6aaaf63082b2126ef,8
