episode_id,created_ts_ns,utc_date,policy_model,inference.policy.server.host,inference.policy.server.device
000000000100,1774440056580126795,2026-03-25,smolvla,string:0.0.0.0,string:cuda
000000000101,1774440269762374548,2026-03-25,groot,string:0.0.0.0,<missing>
000000000102,1774441759917751792,2026-03-25,act,string:0.0.0.0,string:cuda
000000000103,1774442046014432925,2026-03-25,groot,string:0.0.0.0,<missing>
000000000104,1774442322901946124,2026-03-25,groot,string:0.0.0.0,<missing>
000000000105,1774442626743844076,2026-03-25,groot,string:0.0.0.0,<missing>
000000000106,1774442893944098773,2026-03-25,openpi,string:0.0.0.0,<missing>
000000000107,1774443481409725396,2026-03-25,groot,string:0.0.0.0,<missing>
000000000108,1774443748408552517,2026-03-25,smolvla,string:0.0.0.0,string:cuda
000000000109,1774444011910487801,2026-03-25,groot,string:0.0.0.0,<missing>
000000000110,1774444062952694934,2026-03-25,act,string:0.0.0.0,string:cuda
000000000111,1774444376110205102,2026-03-25,smolvla,string:0.0.0.0,string:cuda
000000000112,1774444675703529430,2026-03-25,groot,string:0.0.0.0,<missing>
000000000113,1774444937815504210,2026-03-25,groot,string:0.0.0.0,<missing>
000000000114,1774445194950508834,2026-03-25,act,string:0.0.0.0,string:cuda
000000000115,1774445455463991761,2026-03-25,act,string:0.0.0.0,string:cuda
000000000116,1774445803305654555,2026-03-25,groot,string:0.0.0.0,<missing>
000000000117,1774446073391707522,2026-03-25,act,string:0.0.0.0,string:cuda
000000000118,1774446356219384145,2026-03-25,act,string:0.0.0.0,string:cuda
000000000119,1774446615701250335,2026-03-25,act,string:0.0.0.0,string:cuda
000000000120,1774447011486193253,2026-03-25,smolvla,string:0.0.0.0,string:cuda
000000000121,1774447495795226669,2026-03-25,groot,string:0.0.0.0,<missing>
000000000122,1774447806068826340,2026-03-25,groot,string:0.0.0.0,<missing>
000000000123,1774448082140096202,2026-03-25,groot,string:0.0.0.0,<missing>
000000000124,1774448369154685236,2026-03-25,smolvla,string:0.0.0.0,string:cuda
000000000125,1774448637605373103,2026-03-25,groot,string:0.0.0.0,<missing>
000000000126,1774448896695550260,2026-03-25,smolvla,string:0.0.0.0,string:cuda
000000000127,1774449200130628235,2026-03-25,act,string:0.0.0.0,string:cuda
000000000128,1774449547511314887,2026-03-25,smolvla,string:0.0.0.0,string:cuda
000000000129,1774449947124031115,2026-03-25,groot,string:0.0.0.0,<missing>
000000000130,1774450448632558760,2026-03-25,groot,string:0.0.0.0,<missing>
000000000131,1774450582366871885,2026-03-25,openpi,string:0.0.0.0,<missing>
000000000132,1774450944853549514,2026-03-25,smolvla,string:0.0.0.0,string:cuda
000000000133,1774450989309732083,2026-03-25,groot,string:0.0.0.0,<missing>
000000000134,1774451368800683057,2026-03-25,groot,string:0.0.0.0,<missing>
000000000135,1774451751369547153,2026-03-25,groot,string:0.0.0.0,<missing>
000000000136,1774452028146680360,2026-03-25,act,string:0.0.0.0,string:cuda
000000000137,1774452442396725907,2026-03-25,groot,string:0.0.0.0,<missing>
000000000138,1774452721593253553,2026-03-25,act,string:0.0.0.0,string:cuda
000000000139,1774453000043882202,2026-03-25,openpi,string:0.0.0.0,<missing>
000000000140,1774453383227495706,2026-03-25,groot,string:0.0.0.0,<missing>
000000000141,1774453848445266608,2026-03-25,groot,string:0.0.0.0,<missing>
000000000142,1774453993951134437,2026-03-25,groot,string:0.0.0.0,<missing>
000000000143,1774454253229355116,2026-03-25,groot,string:0.0.0.0,<missing>
000000000144,1774454513942346618,2026-03-25,groot,string:0.0.0.0,<missing>
000000000145,1774454823362610875,2026-03-25,smolvla,string:0.0.0.0,string:cuda
000000000146,1774455122107376978,2026-03-25,smolvla,string:0.0.0.0,string:cuda
000000000147,1774455380867350845,2026-03-25,openpi,string:0.0.0.0,<missing>
000000000148,1774455659080250049,2026-03-25,groot,string:0.0.0.0,<missing>
000000000149,1774455960046006935,2026-03-25,openpi,string:0.0.0.0,<missing>
000000000150,1774456240204442223,2026-03-25,groot,string:0.0.0.0,<missing>
000000000151,1774456517603779286,2026-03-25,groot,string:0.0.0.0,<missing>
000000000152,1774456779259234076,2026-03-25,groot,string:0.0.0.0,<missing>
000000000153,1774613542341907626,2026-03-27,openpi,string:0.0.0.0,<missing>
000000000154,1774613810885620121,2026-03-27,smolvla,string:0.0.0.0,string:cuda
000000000155,1774614105575225491,2026-03-27,smolvla,string:0.0.0.0,string:cuda
000000000156,1774614418124211428,2026-03-27,act,string:0.0.0.0,string:cuda
000000000157,1774614791966108577,2026-03-27,openpi,string:0.0.0.0,<missing>
000000000158,1774615065456946351,2026-03-27,openpi,string:0.0.0.0,<missing>
000000000159,1774615404954410328,2026-03-27,groot,string:0.0.0.0,<missing>
000000000160,1774615689893909325,2026-03-27,openpi,string:0.0.0.0,<missing>
000000000161,1774616161393825654,2026-03-27,openpi,string:0.0.0.0,<missing>
000000000162,1774616490055760700,2026-03-27,groot,string:0.0.0.0,<missing>
000000000163,1774616823071851315,2026-03-27,smolvla,string:0.0.0.0,string:cuda
000000000164,1774616917891667995,2026-03-27,smolvla,string:0.0.0.0,string:cuda
000000000165,1774617394798082330,2026-03-27,smolvla,string:0.0.0.0,string:cuda
000000000166,1774617449185643194,2026-03-27,groot,string:0.0.0.0,<missing>
000000000167,1774617764386715481,2026-03-27,groot,string:0.0.0.0,<missing>
000000000168,1774618139930957960,2026-03-27,act,string:0.0.0.0,string:cuda
000000000169,1774618954001553912,2026-03-27,act,string:0.0.0.0,string:cuda
000000000170,1774619306891825325,2026-03-27,groot,string:0.0.0.0,<missing>
000000000171,1774619820570910249,2026-03-27,smolvla,string:0.0.0.0,string:cuda
000000000172,1774620545331576845,2026-03-27,openpi,string:0.0.0.0,<missing>
000000000173,1774620869999320585,2026-03-27,openpi,string:0.0.0.0,<missing>
000000000174,1774621157532050449,2026-03-27,smolvla,string:0.0.0.0,string:cuda
000000000175,1774621514183624242,2026-03-27,smolvla,string:0.0.0.0,string:cuda
000000000176,1774621614451466002,2026-03-27,groot,string:0.0.0.0,<missing>
000000000177,1774621895479506346,2026-03-27,act,string:0.0.0.0,string:cuda
000000000178,1774622326963659145,2026-03-27,groot,string:0.0.0.0,<missing>
000000000179,1774623775583202570,2026-03-27,openpi,string:0.0.0.0,<missing>
000000000180,1774624139608059830,2026-03-27,openpi,string:0.0.0.0,<missing>
000000000181,1774624467033193678,2026-03-27,groot,string:0.0.0.0,<missing>
000000000182,1774624770961476864,2026-03-27,groot,string:0.0.0.0,<missing>
000000000183,1774625071471604892,2026-03-27,groot,string:0.0.0.0,<missing>
000000000184,1774625357487633381,2026-03-27,groot,string:0.0.0.0,<missing>
000000000185,1774625653255204251,2026-03-27,smolvla,string:0.0.0.0,string:cuda
000000000186,1774625849464435741,2026-03-27,groot,string:0.0.0.0,<missing>
000000000187,1774626131999023641,2026-03-27,act,string:0.0.0.0,string:cuda
000000000188,1774626337180409881,2026-03-27,groot,string:0.0.0.0,<missing>
000000000189,1774626626139615002,2026-03-27,openpi,string:0.0.0.0,<missing>
000000000190,1774626690469501738,2026-03-27,smolvla,string:0.0.0.0,string:cuda
000000000191,1774627018830682050,2026-03-27,smolvla,string:0.0.0.0,string:cuda
000000000192,1774627326377242967,2026-03-27,groot,string:0.0.0.0,<missing>
000000000193,1774627677102336271,2026-03-27,groot,string:0.0.0.0,<missing>
000000000194,1774627961983332203,2026-03-27,openpi,string:0.0.0.0,<missing>
000000000195,1774628253212947168,2026-03-27,groot,string:0.0.0.0,<missing>
000000000196,1774628532690794705,2026-03-27,smolvla,string:0.0.0.0,string:cuda
000000000197,1774628615099790858,2026-03-27,groot,string:0.0.0.0,<missing>
000000000198,1774628898335127676,2026-03-27,groot,string:0.0.0.0,<missing>
000000000199,1774630072463893769,2026-03-27,groot,string:0.0.0.0,<missing>
000000000200,1774764897795275025,2026-03-29,openpi,string:0.0.0.0,<missing>
000000000201,1774765224433746262,2026-03-29,act,string:0.0.0.0,string:cuda
000000000202,1774765504220941528,2026-03-29,groot,string:0.0.0.0,<missing>
000000000203,1774765804663561197,2026-03-29,groot,string:0.0.0.0,<missing>
000000000204,1774766145356182950,2026-03-29,openpi,string:0.0.0.0,<missing>
000000000205,1774766410749754665,2026-03-29,groot,string:0.0.0.0,<missing>
000000000206,1774766691079930760,2026-03-29,smolvla,string:0.0.0.0,string:cuda
000000000207,1774767107953667525,2026-03-29,act,string:0.0.0.0,string:cuda
000000000208,1774767398368642712,2026-03-29,smolvla,string:0.0.0.0,string:cuda
000000000209,1774767754960727915,2026-03-29,openpi,string:0.0.0.0,<missing>
000000000210,1774768141040127235,2026-03-29,groot,string:0.0.0.0,<missing>
000000000211,1774768426744607809,2026-03-29,groot,string:0.0.0.0,<missing>
000000000212,1774768825896792046,2026-03-29,groot,string:0.0.0.0,<missing>
000000000213,1774769112185035703,2026-03-29,openpi,string:0.0.0.0,<missing>
000000000214,1774769391774016073,2026-03-29,openpi,string:0.0.0.0,<missing>
000000000215,1774769689350782917,2026-03-29,openpi,string:0.0.0.0,<missing>
000000000216,1774769962107026118,2026-03-29,act,string:0.0.0.0,string:cuda
000000000217,1774770245813986770,2026-03-29,groot,string:0.0.0.0,<missing>
000000000218,1774771087324570213,2026-03-29,groot,string:0.0.0.0,<missing>
000000000219,1774771373860522808,2026-03-29,smolvla,string:0.0.0.0,string:cuda
000000000220,1774771686575321236,2026-03-29,groot,string:0.0.0.0,<missing>
000000000221,1774772073241112392,2026-03-29,openpi,string:0.0.0.0,<missing>
000000000222,1774772458266741275,2026-03-29,groot,string:0.0.0.0,<missing>
000000000223,1774772736542919698,2026-03-29,smolvla,string:0.0.0.0,string:cuda
000000000224,1774773024733862753,2026-03-29,act,string:0.0.0.0,string:cuda
000000000225,1774773316015679084,2026-03-29,smolvla,string:0.0.0.0,string:cuda
000000000226,1774773504761583461,2026-03-29,openpi,string:0.0.0.0,<missing>
000000000227,1774773766550661379,2026-03-29,groot,string:0.0.0.0,<missing>
000000000228,1774774035623497016,2026-03-29,act,string:0.0.0.0,string:cuda
000000000229,1774774216276004113,2026-03-29,smolvla,string:0.0.0.0,string:cuda
000000000230,1774774495088946635,2026-03-29,smolvla,string:0.0.0.0,string:cuda
000000000231,1774774540888762707,2026-03-29,smolvla,string:0.0.0.0,string:cuda
000000000232,1774774893209209261,2026-03-29,groot,string:0.0.0.0,<missing>
000000000233,1774775167712267377,2026-03-29,smolvla,string:0.0.0.0,string:cuda
000000000234,1774775459372587838,2026-03-29,groot,string:0.0.0.0,<missing>
000000000235,1774775778590455504,2026-03-29,smolvla,string:0.0.0.0,string:cuda
000000000236,1774775848157855846,2026-03-29,groot,string:0.0.0.0,<missing>
000000000237,1774776628857255224,2026-03-29,openpi,string:0.0.0.0,<missing>
000000000238,1774776743953889700,2026-03-29,groot,string:0.0.0.0,<missing>
000000000239,1774777046647638671,2026-03-29,groot,string:0.0.0.0,<missing>
000000000240,1774777988836277689,2026-03-29,openpi,string:0.0.0.0,<missing>
000000000241,1774778395194490813,2026-03-29,act,string:0.0.0.0,string:cuda
000000000242,1774778666846383148,2026-03-29,groot,string:0.0.0.0,<missing>
000000000243,1774779149446503704,2026-03-29,smolvla,string:0.0.0.0,string:cuda
000000000244,1774779435567620242,2026-03-29,openpi,string:0.0.0.0,<missing>
000000000245,1774779709213824985,2026-03-29,smolvla,string:0.0.0.0,string:cuda
000000000246,1774780016360270957,2026-03-29,groot,string:0.0.0.0,<missing>
000000000247,1774780290213849793,2026-03-29,openpi,string:0.0.0.0,<missing>
000000000248,1774780606126282600,2026-03-29,act,string:0.0.0.0,string:cuda
000000000249,1774780873276471889,2026-03-29,groot,string:0.0.0.0,<missing>
000000000250,1774781325958342128,2026-03-29,smolvla,string:0.0.0.0,string:cuda
000000000251,1774781609654100015,2026-03-29,groot,string:0.0.0.0,<missing>
000000000252,1774781892047678040,2026-03-29,smolvla,string:0.0.0.0,string:cuda
000000000253,1774782166906797843,2026-03-29,openpi,string:0.0.0.0,<missing>
000000000254,1774782461366573391,2026-03-29,act,string:0.0.0.0,string:cuda
000000000255,1774782777523251039,2026-03-29,groot,string:0.0.0.0,<missing>
000000000256,1774783057996143479,2026-03-29,smolvla,string:0.0.0.0,string:cuda
000000000257,1774783139481591006,2026-03-29,smolvla,string:0.0.0.0,string:cuda
000000000258,1774783461157463471,2026-03-29,groot,string:0.0.0.0,<missing>
000000000259,1774783772814038360,2026-03-29,smolvla,string:0.0.0.0,string:cuda
000000000260,1774784108561994879,2026-03-29,act,string:0.0.0.0,string:cuda
000000000261,1774784432733184954,2026-03-29,openpi,string:0.0.0.0,<missing>
000000000262,1774784706493193590,2026-03-29,smolvla,string:0.0.0.0,string:cuda
000000000263,1774784967057479077,2026-03-29,smolvla,string:0.0.0.0,string:cuda
000000000264,1774785277030770323,2026-03-29,groot,string:0.0.0.0,<missing>
000000000265,1774785437036397894,2026-03-29,openpi,string:0.0.0.0,<missing>
000000000266,1774785718223460220,2026-03-29,smolvla,string:0.0.0.0,string:cuda
000000000267,1774785812259599845,2026-03-29,smolvla,string:0.0.0.0,string:cuda
000000000268,1774786118768598414,2026-03-29,groot,string:0.0.0.0,<missing>
000000000269,1774786400040386782,2026-03-29,act,string:0.0.0.0,string:cuda
000000000270,1774786696672027792,2026-03-29,openpi,string:0.0.0.0,<missing>
000000000271,1774786926332542651,2026-03-29,openpi,string:0.0.0.0,<missing>
000000000272,1774787201285924534,2026-03-29,smolvla,string:0.0.0.0,string:cuda
000000000273,1774787372122675940,2026-03-29,act,string:0.0.0.0,string:cuda
000000000274,1772705345768891765,2026-03-05,openpi,string:0.0.0.0,<missing>
000000000275,1772705604126774094,2026-03-05,openpi,string:0.0.0.0,<missing>
000000000276,1772705745317816611,2026-03-05,openpi,string:0.0.0.0,<missing>
000000000277,1772706524228248759,2026-03-05,openpi,string:0.0.0.0,<missing>
000000000278,1772709241370375763,2026-03-05,act,string:0.0.0.0,string:cuda
000000000279,1772710751844679606,2026-03-05,act,string:0.0.0.0,string:cuda
000000000280,1772711408541393842,2026-03-05,openpi,string:0.0.0.0,<missing>
000000000281,1772711633018838792,2026-03-05,act,string:0.0.0.0,string:cuda
000000000282,1772711783235656997,2026-03-05,act,string:0.0.0.0,string:cuda
000000000283,1772712077383618400,2026-03-05,openpi,string:0.0.0.0,<missing>
000000000284,1772712311939469220,2026-03-05,act,string:0.0.0.0,string:cuda
000000000285,1772712589958225032,2026-03-05,act,string:0.0.0.0,string:cuda
000000000286,1772713237300762469,2026-03-05,act,string:0.0.0.0,string:cuda
000000000287,1772713756549987913,2026-03-05,act,string:0.0.0.0,string:cuda
000000000288,1772714220285949545,2026-03-05,openpi,string:0.0.0.0,<missing>
000000000289,1772714970878547267,2026-03-05,openpi,string:0.0.0.0,<missing>
000000000290,1772715482210804235,2026-03-05,act,string:0.0.0.0,string:cuda
000000000291,1772715836486704224,2026-03-05,openpi,string:0.0.0.0,<missing>
000000000292,1772716445589992042,2026-03-05,openpi,string:0.0.0.0,<missing>
000000000293,1772716682484686553,2026-03-05,act,string:0.0.0.0,string:cuda
000000000294,1772717438803148765,2026-03-05,openpi,string:0.0.0.0,<missing>
000000000295,1772717770541878574,2026-03-05,openpi,string:0.0.0.0,<missing>
000000000296,1772718695916917796,2026-03-05,openpi,string:0.0.0.0,<missing>
000000000297,1772718975882273632,2026-03-05,openpi,string:0.0.0.0,<missing>
000000000298,1772802287505583666,2026-03-06,openpi,string:0.0.0.0,<missing>
000000000299,1772802607058077038,2026-03-06,openpi,string:0.0.0.0,<missing>
000000000300,1772802779972362837,2026-03-06,act,string:0.0.0.0,string:cuda
000000000301,1772803443072084024,2026-03-06,act,string:0.0.0.0,string:cuda
000000000302,1772803723930568057,2026-03-06,act,string:0.0.0.0,string:cuda
000000000303,1772804008106666274,2026-03-06,openpi,string:0.0.0.0,<missing>
000000000304,1772804879370399831,2026-03-06,openpi,string:0.0.0.0,<missing>
000000000305,1772805242849164233,2026-03-06,act,string:0.0.0.0,string:cuda
000000000306,1772805647506611648,2026-03-06,openpi,string:0.0.0.0,<missing>
000000000307,1772806274217821170,2026-03-06,act,string:0.0.0.0,string:cuda
000000000308,1772807406616470164,2026-03-06,act,string:0.0.0.0,string:cuda
000000000309,1772807714724739535,2026-03-06,act,string:0.0.0.0,string:cuda
000000000310,1772808192032738677,2026-03-06,openpi,string:0.0.0.0,<missing>
000000000311,1772809209518040138,2026-03-06,act,string:0.0.0.0,string:cuda
000000000312,1772809489518224781,2026-03-06,openpi,string:0.0.0.0,<missing>
000000000313,1772810697138354334,2026-03-06,openpi,string:0.0.0.0,<missing>
000000000314,1772811577795437840,2026-03-06,openpi,string:0.0.0.0,<missing>
000000000315,1772812377115960544,2026-03-06,openpi,string:0.0.0.0,<missing>
000000000316,1772812937870721540,2026-03-06,openpi,string:0.0.0.0,<missing>
000000000317,1772813287230744952,2026-03-06,act,string:0.0.0.0,string:cuda
000000000318,1772813569923060193,2026-03-06,act,string:0.0.0.0,string:cuda
000000000319,1772813859330659289,2026-03-06,act,string:0.0.0.0,string:cuda
000000000320,1772814379169412462,2026-03-06,act,string:0.0.0.0,string:cuda
000000000321,1772814901058278130,2026-03-06,act,string:0.0.0.0,string:cuda
000000000322,1772815216410178410,2026-03-06,openpi,string:0.0.0.0,<missing>
000000000323,1772815548442358526,2026-03-06,act,string:0.0.0.0,string:cuda
000000000324,1773131479951326137,2026-03-10,act,string:0.0.0.0,string:cuda
000000000325,1773131770015050357,2026-03-10,act,string:0.0.0.0,string:cuda
000000000326,1773132101941869038,2026-03-10,openpi,string:0.0.0.0,<missing>
000000000327,1773132449085019088,2026-03-10,openpi,string:0.0.0.0,<missing>
000000000328,1773132812367761569,2026-03-10,act,string:0.0.0.0,string:cuda
000000000329,1773133862627350939,2026-03-10,act,string:0.0.0.0,string:cuda
000000000330,1773134512698287578,2026-03-10,act,string:0.0.0.0,string:cuda
000000000331,1773135371285903029,2026-03-10,act,string:0.0.0.0,string:cuda
000000000332,1773135924254044848,2026-03-10,act,string:0.0.0.0,string:cuda
000000000333,1773136421808065017,2026-03-10,openpi,string:0.0.0.0,<missing>
000000000334,1773137523764500468,2026-03-10,openpi,string:0.0.0.0,<missing>
000000000335,1773137867582983049,2026-03-10,openpi,string:0.0.0.0,<missing>
000000000336,1773138248958582664,2026-03-10,openpi,string:0.0.0.0,<missing>
000000000337,1773138474969502168,2026-03-10,act,string:0.0.0.0,string:cuda
000000000338,1773139802396356851,2026-03-10,act,string:0.0.0.0,string:cuda
000000000339,1773140364998802053,2026-03-10,openpi,string:0.0.0.0,<missing>
000000000340,1773140649528259877,2026-03-10,openpi,string:0.0.0.0,<missing>
000000000341,1773142421398707961,2026-03-10,openpi,string:0.0.0.0,<missing>
000000000342,1773143086371236939,2026-03-10,act,string:0.0.0.0,string:cuda
000000000343,1773144043228199988,2026-03-10,openpi,string:0.0.0.0,<missing>
000000000344,1773144358089666204,2026-03-10,openpi,string:0.0.0.0,<missing>
000000000345,1773144693193359944,2026-03-10,openpi,string:0.0.0.0,<missing>
000000000346,1773145144878772443,2026-03-10,act,string:0.0.0.0,string:cuda
000000000347,1773145498129846130,2026-03-10,act,string:0.0.0.0,string:cuda
000000000348,1773145937971445916,2026-03-10,openpi,string:0.0.0.0,<missing>
000000000349,1773148141987972094,2026-03-10,openpi,string:0.0.0.0,<missing>
000000000350,1773148424406953987,2026-03-10,openpi,string:0.0.0.0,<missing>
000000000351,1773149051550270456,2026-03-10,act,string:0.0.0.0,string:cuda
000000000352,1773149435333135228,2026-03-10,act,string:0.0.0.0,string:cuda
000000000353,1773150248182924637,2026-03-10,openpi,string:0.0.0.0,<missing>
000000000354,1773150742989061230,2026-03-10,act,string:0.0.0.0,string:cuda
000000000355,1773151298666607903,2026-03-10,act,string:0.0.0.0,string:cuda
000000000356,1773151577836043618,2026-03-10,act,string:0.0.0.0,string:cuda
000000000357,1773151934555429470,2026-03-10,act,string:0.0.0.0,string:cuda
