"paper","pinned_arxiv","coefficient_id","coefficient_value","coefficient_scope","displayed_points","policy_models","base_lineages","training_runs","checkpoints","tasks","conditions","coefficient_axis","uncertainty_on_r","selection_rule","source_passage","fact_ambiguity","finite_panel_description","generalization_axis_stated","target_population_defined","new_policy_inference","new_task_inference","crossed_inference","interpretive_note","k_policy","k_task","k_run","k_condition","coder_id","coding_date","judgment_fields"
"SimFoundry","2606.28276v3","mean-per-task-pearson","mean r=0.911","arithmetic mean of seven per-task Pearson correlations, each across 3 or 5 evaluated policies","29","5","?","?","0","7","0","mean-of-correlations","none","no","Sec. 5.1; Table G.1 and Fig. G.1, paper p. 7 and appendix pp. 33-34","Five policy variants exist overall, but only three enter each of the first three task correlations; no uncertainty is reported for the mean.","yes","policy|task","no","unsupported","unsupported","unsupported","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","5","7","?","?","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"SimFoundry","2606.28276v3","subtask-mean-pearson","mean r=0.951","mean of three per-task correlations across pi0, pi0.5, and GR00T N1.6 after sub-task reset evaluation","9","3","?","?","0","3","1","mean-of-correlations","none","no","Sec. 5.1; Appendix G.1.1 and Table G.3, paper p. 7 and appendix p. 34","Sub-task reset is a designed evaluation intervention; the mean is reported over three fine-tuned tasks.","yes","policy|task|condition","no","unsupported","unsupported","unsupported","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","3","3","?","1","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"WorldGym","2506.00613v3","bridge-task-policy-pearson","r=0.78","51 per-task success-rate pairs: 17 Bridge tasks crossed with RT-1-X, Octo, and OpenVLA","51","3","?","?","0","17","0","crossed","p-value","no","Sec. 4.1; Fig. 4(a); Appendix Table 5, paper pp. 5-6 and appendix p. 23","The 51 points reuse tasks within three policy families; no correlation-axis uncertainty beyond p<0.001 is supplied.","yes","policy|task","no","unsupported","unsupported","unsupported","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","3","17","?","?","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"RoboSnap","2607.06699v1","sim-real-policy-pearson","r=0.887","ten real-only-finetuned pi0.5 task-policy variants shown as paired real and simulated success rates","10","10","1","?","0","10","0","crossed","none","no","Sec. 4.4 Generative Evaluation in Digital Cousins; Fig. 6, paper p. 8","The paper calls these pi0.5 policies but does not document whether they are independent training runs or checkpoints of shared runs.","yes","policy|task","no","unsupported","unsupported","unsupported","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","10","10","?","?","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"REALM","2512.19562v1","overall-five-perturbations","r=0.92","task-progression cells for 3 VLAs crossed with 7 tasks and 5 perturbation settings","105","3","?","?","0","7","5","crossed","p-value","no","Sec. IV; Fig. 6 overall panel, paper pp. 6-7","The caption specifies axes but not whether any missing policy-task-perturbation cells were omitted.","yes","policy|task|condition","no","unsupported","unsupported","unsupported","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","3","7","?","5","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"REALM","2512.19562v1","default-no-perturbation","r=0.88","3 VLAs by 7 tasks under default condition","21","3","?","?","0","7","1","crossed","p-value","no","Fig. 6 default panel, paper p. 7","No sampling population is defined.","yes","policy|task","no","unsupported","unsupported","unsupported","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","3","7","?","1","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"REALM","2512.19562v1","object-pose-perturbation","r=0.93","3 VLAs by 7 tasks under VB-POSE","21","3","?","?","0","7","1","crossed","p-value","no","Fig. 6 object-pose panel, paper p. 7","No sampling population is defined.","yes","policy|task|condition","no","unsupported","unsupported","unsupported","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","3","7","?","1","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"REALM","2512.19562v1","camera-pose-perturbation","r=0.89","3 VLAs by 7 tasks under V-VIEW","21","3","?","?","0","7","1","crossed","p-value","no","Fig. 6 camera-pose panel, paper p. 7","No sampling population is defined.","yes","policy|task|condition","no","unsupported","unsupported","unsupported","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","3","7","?","1","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"PolaRiS","2512.16881v2","six-environment-mean","average r=0.90","mean of six environment-specific policy correlations across pi0, pi0-FAST, PaliGemma-binning, and pi0.5","24","4","?","?","0","6","6","mean-of-correlations","none","no","Abstract; Sec. 5.1-5.2; Figs. 6-7 and 13, paper pp. 9-11 and appendix","The figures print the overall/individual values, but text gives only average 0.90 and worst-case 0.81; training-run independence is not established.","yes","policy|task|condition","no","unsupported","unsupported","unsupported","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","4","6","?","6","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"PolaRiS","2512.16881v2","roboarena-progress","r=0.98","PolaRiS score versus RoboArena average progress for the four evaluated policy variants","4","4","?","?","0","0","1","policy","none","no","Abstract; Sec. 5.2; Fig. 8, paper pp. 2 and 11","RoboArena evaluates a broader capability set than the six simulated scenes; exact score aggregation is not specified in prose.","yes","policy","no","unsupported","unidentified","unidentified","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","4","?","?","?","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"SC3-Eval","2606.18610v3","id-offline","r=0.959","21 checkpoint-success-criterion pairs (7 checkpoints x 3 criteria), offline, in-distribution","21","1","?","?","7","1","3","checkpoint|condition","none","no","Sec. 4.1-4.2; Fig. 4; Table 1; Appendix A.3, paper pp. 6-7 and appendix p. 12","The seven entries are called both policies and checkpoints; source explicitly defines each (checkpoint, criterion) point but not independent runs.","yes","policy|condition|task","no","unidentified","unsupported","unsupported","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","?","1","?","3","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"SC3-Eval","2606.18610v3","id-online","r=0.984","21 checkpoint-success-criterion pairs (7 checkpoints x 3 criteria), online, in-distribution","21","1","?","?","7","1","3","checkpoint|condition","none","no","Sec. 4.1-4.2; Fig. 4; Table 1; Appendix A.3, paper pp. 6-7 and appendix p. 12","The seven entries are called both policies and checkpoints; source explicitly defines each (checkpoint, criterion) point but not independent runs.","yes","policy|condition|task","no","unidentified","unsupported","unsupported","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","?","1","?","3","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"SC3-Eval","2606.18610v3","ood-offline","r=0.962","21 checkpoint-success-criterion pairs (7 checkpoints x 3 criteria), offline, out-of-distribution","21","1","?","?","7","1","3","checkpoint|condition","none","no","Sec. 4.1-4.2; Fig. 4; Table 1; Appendix A.3, paper pp. 6-7 and appendix p. 12","The seven entries are called both policies and checkpoints; source explicitly defines each (checkpoint, criterion) point but not independent runs.","yes","policy|condition|task","no","unidentified","unsupported","unsupported","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","?","1","?","3","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"SC3-Eval","2606.18610v3","ood-online","r=0.870","21 checkpoint-success-criterion pairs (7 checkpoints x 3 criteria), online, out-of-distribution","21","1","?","?","7","1","3","checkpoint|condition","none","no","Sec. 4.1-4.2; Fig. 4; Table 1; Appendix A.3, paper pp. 6-7 and appendix p. 12","The seven entries are called both policies and checkpoints; source explicitly defines each (checkpoint, criterion) point but not independent runs.","yes","policy|condition|task","no","unidentified","unsupported","unsupported","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","?","1","?","3","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"SC3-Eval","2606.18610v3","closed-loop-combined","r=0.929","closed-loop coefficient pooled across both task splits: 7 checkpoints x 3 criteria x 2 task semantics","42","1","?","?","7","2","3","checkpoint|condition|task","none","no","Abstract and Conclusion; Sec. 4.1; Fig. 4, paper pp. 1, 6, 9","The conclusion reports the pooled closed-loop coefficient but does not restate the exact pooling; inferred from the two 21-point online panels.","yes","policy|task|condition","no","unidentified","unsupported","unsupported","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","?","2","?","3","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"WorldEval","2505.19017v1","primary-bussing-table","r=0.935","one real and WorldEval success rate for each of four policies on bussing table","4","4","?","?","0","1","0","policy","none","no","Sec. 4.1; Fig. 4, paper p. 7","Four policy points are shown; training lineage and independent-run structure are not reported.","yes","policy","no","unsupported","unidentified","unidentified","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","4","1","?","?","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"WorldEval","2505.19017v1","primary-collect-toy","r=0.885","one real and WorldEval success rate for each of four policies on collect toy","4","4","?","?","0","1","0","policy","none","no","Sec. 4.1; Fig. 4, paper p. 7","Four policy points are shown; training lineage and independent-run structure are not reported.","yes","policy","no","unsupported","unidentified","unidentified","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","4","1","?","?","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"WorldEval","2505.19017v1","primary-place-cup","r=0.958","one real and WorldEval success rate for each of four policies on place cup","4","4","?","?","0","1","0","policy","none","no","Sec. 4.1; Fig. 4, paper p. 7","Four policy points are shown; training lineage and independent-run structure are not reported.","yes","policy","no","unsupported","unidentified","unidentified","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","4","1","?","?","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"WorldEval","2505.19017v1","primary-handover-block","r=0.980","one real and WorldEval success rate for each of four policies on handover block","4","4","?","?","0","1","0","policy","none","no","Sec. 4.1; Fig. 4, paper p. 7","Four policy points are shown; training lineage and independent-run structure are not reported.","yes","policy","no","unsupported","unidentified","unidentified","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","4","1","?","?","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"WorldEval","2505.19017v1","primary-strike-block","r=0.887","one real and WorldEval success rate for each of four policies on strike block","4","4","?","?","0","1","0","policy","none","no","Sec. 4.1; Fig. 4, paper p. 7","Four policy points are shown; training lineage and independent-run structure are not reported.","yes","policy","no","unsupported","unidentified","unidentified","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","4","1","?","?","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"WorldEval","2505.19017v1","real-to-sim-comparison-mean","mean r=0.942","mean of Place Cup, Strike Block, and Handover Block correlations, each across four policies","12","4","?","?","0","3","0","mean-of-correlations","none","no","Sec. 4.2; Table 1, paper pp. 6-7","Mean is descriptive over three task-specific r values (0.958, 0.887, 0.980).","yes","policy|task","no","unsupported","unsupported","unsupported","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","4","3","?","?","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"WorldEval","2505.19017v1","unseen-backgrounds","r=0.927","policy-performance cells for three tasks in office, living-room, and kitchen backgrounds","36","4","?","?","0","3","3","crossed","none","no","Appendix, Effective Prediction of Policy Robustness Under Distribution Shifts, paper pp. 17-18","The appendix does not explicitly state whether r pools 4 policies x 3 tasks x 3 backgrounds or first averages an axis; displayed point count is coded from the fully crossed described design.","yes","policy|task|condition","no","unsupported","unsupported","unsupported","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","4","3","?","3","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"A Practical Recipe","2606.10366v1","vla-arena-average","average r=0.725","mean of perturbation-dimension Pearson correlations across five policies for vla-arena","20","5","?","?","0","4","4","mean-of-correlations","none","no","Sec. 4.2; Table 2; Appendix C.2, paper pp. 4-5 and appendix pp. 15-16","Task cells are aggregated within each perturbation dimension before policy correlation; exact task aggregation is not enumerated in the metric definition.","yes","policy|condition","no","unsupported","unsupported","unsupported","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","5","4","?","4","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"A Practical Recipe","2606.10366v1","simpler-average","average r=0.402","mean of perturbation-dimension Pearson correlations across five policies for simpler","15","5","?","?","0","3","3","mean-of-correlations","none","no","Sec. 4.2; Table 2; Appendix C.2, paper pp. 4-5 and appendix pp. 15-16","Task cells are aggregated within each perturbation dimension before policy correlation; exact task aggregation is not enumerated in the metric definition.","yes","policy|condition","no","unsupported","unsupported","unsupported","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","5","3","?","3","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"A Practical Recipe","2606.10366v1","realm-average","average r=0.785","mean of perturbation-dimension Pearson correlations across five policies for realm","20","5","?","?","0","4","4","mean-of-correlations","none","no","Sec. 4.2; Table 2; Appendix C.2, paper pp. 4-5 and appendix pp. 15-16","Task cells are aggregated within each perturbation dimension before policy correlation; exact task aggregation is not enumerated in the metric definition.","yes","policy|condition","no","unsupported","unsupported","unsupported","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","5","4","?","4","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"A Practical Recipe","2606.10366v1","realm-sensitivity-original","r=0.875","normalized perturbation-sensitivity values flattened across five policies and four perturbation dimensions before post-training","20","5","?","?","0","4","4","crossed","none","no","Sec. 4.2-4.3; Table 4; Appendix C.3-C.4, paper pp. 5-7 and appendix p. 16","Sensitivity values normalize within policy and are statistically dependent; no uncertainty is reported.","yes","policy|condition","no","unsupported","unsupported","unsupported","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","5","4","?","4","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
