"paper","pinned_arxiv","coder_id","coding_date","coefficient_id","coefficient_scope","displayed_points","policy_models","base_lineages","training_runs","checkpoints","tasks","conditions","coefficient_axis","uncertainty_on_r","selection_rule","source_passage","fact_ambiguity","finite_panel_description","generalization_axis_stated","target_population_defined","new_policy_inference","new_task_inference","crossed_inference","interpretive_note","k_policy","k_task","k_run","k_condition","judgment_fields"
"SimFoundry","2606.28276v3","blind-b","2026-07-23","seven-task-mean","Mean of seven per-task correlations, with three policies on three finetuned tasks and five policies on four zero-shot tasks; mean r=0.911","29","5","3","?","0","7","0","mean-of-correlations","none","no","Abstract; §5.1; Table G.1: seven per-task Pearson values, policy availability 3/3/3/5/5/5/5, mean 0.911","The coefficient is an unweighted mean across heterogeneous 3-point and 5-point task correlations; run counts and a task sampling population are absent.","yes","task|policy","no","unsupported","unsupported","unsupported","This is a descriptive mean of seven task-specific policy correlations, not a pooled 29-point coefficient or a new-task estimate.","5","7","?","0","training_runs|coefficient_scope|generalization_axis_stated|inference_fields"
"WorldGym","2506.00613v3","blind-b","2026-07-23","bridge-policy-task-grid","Real versus world-model success rate across 17 Bridge tasks and three policies; Pearson r=0.78","51","3","3","?","0","17","0","crossed","p-value","no","Fig. 4(a) and §4.1: each point is a task with policy marker; 17 tasks × three policies; r=0.78, p<0.001","The 17 tasks are a benchmark convenience set; policy run replication is not documented.","yes","policy|task","no","unsupported","unsupported","unsupported","The crossed 51-cell panel is descriptive; the paper gives no sampling mechanism for new policies or new tasks.","3","17","?","0","training_runs|generalization_axis_stated|inference_fields"
"RoboSnap","2607.06699v1","blind-b","2026-07-23","ten-task-policy","Real versus simulated success rates of one real-only-finetuned π0.5 policy across ten task variants; Pearson r=0.887","10","1","1","?","0","10","0","task","none","no","§4.5 and Fig. 6: task variants 1.1–4.3, ten paired real/sim rates, r=0.887","The ten task variants are constructed for this study, with no task population or sampling mechanism.","yes","task","no","unsupported","unsupported","unsupported","The coefficient is a finite ten-task description for one policy; it does not support new-policy or new-task generalization.","1","10","?","0","training_runs|generalization_axis_stated|inference_fields"
"REALM","2512.19562v1","blind-b","2026-07-23","overall-perturbed-grid","Task-progression agreement across three policies, seven tasks, and five perturbation settings; Pearson r=0.92","105","3","3","?","0","7","5","crossed","p-value","no","Fig. 6 caption and §IV: three policies, seven tasks under five perturbations; overall r=0.92, p<0.001","The precise handling of repeated trajectories within each displayed aggregate is not inferentially modeled; no target population is defined.","yes","policy|task|condition","no","unsupported","unsupported","unsupported","Although many crossed cells are shown and a p-value is reported, axes are fixed benchmark choices without a population definition.","3","7","?","5","displayed_points|training_runs|generalization_axis_stated|inference_fields"
"PolaRiS","2512.16881v2","blind-b","2026-07-23","six-environment-mean","Mean per-environment Pearson correlation across six paired environments and five policies; mean r=0.90","30","5","5","?","0","6","0","mean-of-correlations","none","no","Introduction and §5.1–5.2: five policy types; six paired environments; average r=0.9 and worst-case r=0.81","The paper does not provide a probability sample of environments or independent policy training runs; this mean should not be read as one pooled 30-cell correlation.","yes","policy|task","no","unsupported","unsupported","unsupported","The average summarizes six fixed environment-specific policy comparisons without new-environment or new-policy inference.","5","6","?","0","training_runs|coefficient_scope|generalization_axis_stated|inference_fields"
"PolaRiS","2512.16881v2","blind-b","2026-07-23","roboarena-scores","PolaRiS aggregate policy scores versus RoboArena progress scores; Pearson r=0.98","5","5","5","?","0","?","0","policy","none","no","Introduction r=0.98; §5.2 and Fig. 8: correlation with RoboArena average progress scores","The figure/text do not state a larger policy sampling population, and task aggregation behind each score is not enumerated locally.","yes","policy","no","unsupported","unsupported","unsupported","The coefficient compares five named policies after aggregation and does not identify new-policy inference.","5","?","?","0","displayed_points|tasks|training_runs|generalization_axis_stated|inference_fields"
"SC3-Eval","2606.18610v3","blind-b","2026-07-23","id-offline","Four in-distribution checkpoints × three success criteria in offline mode; Pearson r=0.959","12","4","1","?","4","1","3","checkpoint|condition","none","no","Fig. 4; Table 1; Appendix A.2–A.3: four ID checkpoints and three criteria; each checkpoint-criterion pair is a point","The seven checkpoints come from one architecture but the source does not document independent training runs or a checkpoint population.","yes","policy|condition","no","unsupported","unsupported","unsupported","This is a fixed checkpoint-by-criterion panel for one task split.","1","1","?","3","training_runs|generalization_axis_stated|inference_fields"
"SC3-Eval","2606.18610v3","blind-b","2026-07-23","id-online","Four in-distribution checkpoints × three success criteria in online mode; Pearson r=0.984","12","4","1","?","4","1","3","checkpoint|condition","none","no","Fig. 4; Table 1; Appendix A.2–A.3","No independently sampled runs/checkpoints or target population are specified.","yes","policy|condition","no","unsupported","unsupported","unsupported","The online r is descriptive over 12 fixed checkpoint-criterion aggregates.","1","1","?","3","training_runs|generalization_axis_stated|inference_fields"
"SC3-Eval","2606.18610v3","blind-b","2026-07-23","ood-offline","Three reverse-table-bussing checkpoints × three success criteria in offline mode; Pearson r=0.962","9","3","1","?","3","1","3","checkpoint|condition","none","no","Fig. 4; Table 1; Appendix A.2: checkpoints 5–7 are OOD; A.3 defines three criteria","The OOD label is task-relative; it does not define a sampled population of new tasks or checkpoints.","yes","policy|condition","no","unsupported","unsupported","unsupported","The OOD panel remains a finite three-checkpoint by three-criterion description.","1","1","?","3","training_runs|generalization_axis_stated|inference_fields"
"SC3-Eval","2606.18610v3","blind-b","2026-07-23","ood-online","Three reverse-table-bussing checkpoints × three success criteria in online mode; Pearson r=0.870","9","3","1","?","3","1","3","checkpoint|condition","none","no","Fig. 4; Table 1; Appendix A.2–A.3","The source defines this held-out task but not a superpopulation of tasks or checkpoints.","yes","policy|condition","no","unsupported","unsupported","unsupported","A held-out task is evidence on that task, not design-based new-task inference.","1","1","?","3","training_runs|generalization_axis_stated|inference_fields"
"WorldEval","2505.19017v1","blind-b","2026-07-23","place-cup","Four policies on Place Cup; Pearson r=0.958","4","4","4","?","0","1","0","policy","none","no","Table 1 and §4.1: four policies; Place Cup Pearson r=0.958","Independent training runs and a policy sampling frame are not specified.","yes","policy","no","unsupported","unsupported","unsupported","The coefficient is defined for four named policies on one task.","4","1","?","0","training_runs|generalization_axis_stated|inference_fields"
"WorldEval","2505.19017v1","blind-b","2026-07-23","strike-block","Four policies on Strike Block; Pearson r=0.887","4","4","4","?","0","1","0","policy","none","no","Table 1: Strike Block Pearson r=0.887","The four policies are a convenience comparison and no run-level replication is documented.","yes","policy","no","unsupported","unsupported","unsupported","The r is a fixed four-policy description.","4","1","?","0","training_runs|generalization_axis_stated|inference_fields"
"WorldEval","2505.19017v1","blind-b","2026-07-23","handover-block","Four policies on Handover Block; Pearson r=0.980","4","4","4","?","0","1","0","policy","none","no","Table 1: Handover Block Pearson r=0.980","No target population or independent policy-run sampling is described.","yes","policy","no","unsupported","unsupported","unsupported","The coefficient supports comparison of the four displayed policies only.","4","1","?","0","training_runs|generalization_axis_stated|inference_fields"
"WorldEval","2505.19017v1","blind-b","2026-07-23","three-task-mean","Unweighted mean of the three four-policy task-specific correlations; mean r=0.942","12","4","4","?","0","3","0","mean-of-correlations","none","no","Table 1 Avg. Pearson r=0.942; task columns Place Cup, Strike Block, Handover Block","This is a mean of correlations, not a pooled correlation over 12 policy-task cells; tasks are not sampled.","yes","task|policy","no","unsupported","unsupported","unsupported","The average describes three fixed task-wise policy comparisons and does not support new-task inference.","4","3","?","0","training_runs|coefficient_scope|generalization_axis_stated|inference_fields"
"A Practical Recipe","2606.10366v1","blind-b","2026-07-23","vla-arena-dimension-mean","Mean of four perturbation-dimension correlations across five policies for VLA-Arena; mean Pearson r=0.725","20","5","5","?","0","9","4","mean-of-correlations","none","no","§4.2 Table 2: Vision/Layout/Language/Behavior r values and Avg. r=0.725; five policies; nine-task platform","The table averages dimension-level correlations; how nine tasks are aggregated into each policy-by-dimension score is not a coefficient axis.","yes","policy|condition","no","unsupported","unsupported","unsupported","This is a finite mean across four perturbation dimensions, without population-based inference.","5","9","?","4","training_runs|coefficient_scope|generalization_axis_stated|inference_fields"
"A Practical Recipe","2606.10366v1","blind-b","2026-07-23","simpler-dimension-mean","Mean of three supported perturbation-dimension correlations across five policies for SIMPLER; mean Pearson r=0.402","15","5","5","?","0","9","3","mean-of-correlations","none","no","§4.2 Table 2: Vision/Layout/Language and Avg. r=0.402; behavior unsupported","Nine tasks are aggregated before each policy-by-dimension value; no sampling model is stated.","yes","policy|condition","no","unsupported","unsupported","unsupported","The mean summarizes three fixed dimension-wise five-policy correlations.","5","9","?","3","training_runs|coefficient_scope|generalization_axis_stated|inference_fields"
"A Practical Recipe","2606.10366v1","blind-b","2026-07-23","realm-original-dimension-mean","Mean of four perturbation-dimension correlations across five original policies in REALM; mean Pearson r=0.785","20","5","5","?","0","9","4","mean-of-correlations","none","no","§4.2 Table 2 and §4.3 Table 4 Original: Proxy r=0.785","The reported coefficient is a mean over four dimension-specific correlations after task aggregation.","yes","policy|condition","no","unsupported","unsupported","unsupported","It is a descriptive mean for five named policies and four dimensions.","5","9","?","4","training_runs|coefficient_scope|generalization_axis_stated|inference_fields"
"A Practical Recipe","2606.10366v1","blind-b","2026-07-23","realm-finetuned-dimension-mean","Mean of four perturbation-dimension correlations across five post-trained policies in REALM; mean Pearson r=0.878","20","5","5","?","0","9","4","mean-of-correlations","none","no","§4.3 Table 4 Finetuned: Proxy r=0.878","Post-training produces one documented variant per named policy; independent repeated training runs are not reported for this coefficient.","yes","policy|condition","no","unsupported","unsupported","unsupported","The before/after contrast is finite-panel evidence, not inference to new policies.","5","9","?","4","training_runs|coefficient_scope|generalization_axis_stated|inference_fields"
"A Practical Recipe","2606.10366v1","blind-b","2026-07-23","realm-finetuned-sensitivity","Pearson correlation of flattened normalized sensitivity values across five policies and four perturbation dimensions after finetuning; r=0.970","20","5","5","?","0","9","4","policy|condition","none","no","§4.3 Table 4 Sens. r=0.970; Appendix C.4 defines flattening over policy × supported dimensions","Task aggregation precedes sensitivity calculation; the paper does not define a superpopulation for policies, tasks, or perturbations.","yes","policy|condition","no","unsupported","unsupported","unsupported","This coefficient directly crosses policy and condition cells but remains a fixed-grid description.","5","9","?","4","training_runs|tasks|generalization_axis_stated|inference_fields"
"Cosmos-Surg-dVRK","2510.16240v2","blind-b","2026-07-23","manual-pooled","Manual Cosmos-Surg-dVRK versus real dVRK success rates across all four tasks and training regimes; Pearson r=0.718","?","?","?","?","?","4","?","crossed","p-value","no","§5.2.1 and Fig. 4: across all tasks and training regimes r=0.718, p<0.001; Table 1 gives four task-wise correlations","The paper does not state the exact number of pooled policy/training-regime points in the prose; generated seeds are averaged and must not be treated as runs.","yes","policy|task","no","unsupported","unsupported","unsupported","The pooled correlation is defined for the displayed task/regime cells, but the population and cluster structure are unspecified.","?","4","?","?","displayed_points|policy_models|base_lineages|training_runs|checkpoints|conditions|generalization_axis_stated|inference_fields"
"Cosmos-Surg-dVRK","2510.16240v2","blind-b","2026-07-23","automated-pooled","Automated-classifier Cosmos-Surg-dVRK versus real dVRK success rates across tabletop tasks and training regimes; Pearson r=0.756","?","?","?","?","?","4","?","crossed","p-value","no","§5.2.2 and Fig. 1b: automated r=0.756, p<0.001; Table 1 task-wise automated correlations","Three generated seeds are averaged per policy-task and are not documented independent training runs; pooled point count is not stated.","yes","policy|task","no","unsupported","unsupported","unsupported","The automated coefficient is a finite pooled comparison; p-values do not by themselves define the generalization population.","?","4","?","?","displayed_points|policy_models|base_lineages|training_runs|checkpoints|conditions|generalization_axis_stated|inference_fields"
"Gemini/Veo","2512.10675v2","blind-b","2026-07-23","nominal-policies","Predicted versus real nominal success rates across eight Gemini Robotics policy checkpoints, each aggregated over 80 scene-instruction combinations; Pearson r=0.88","8","8","1","?","8","5","80","checkpoint","none","no","§3.1–3.2 and Fig. 4: eight variants/checkpoints, five tasks, 80 combinations; Pearson=0.88","The eight checkpoints share a policy family and no independent training-run or checkpoint sampling mechanism is stated.","yes","policy","no","unsupported","unsupported","unsupported","The coefficient describes eight checkpoints after task/scene aggregation, not new-policy inference.","1","5","?","80","training_runs|conditions|generalization_axis_stated|inference_fields"
"Gemini/Veo","2512.10675v2","blind-b","2026-07-23","ood-axes-one-policy","One policy's success rates across four OOD generalization axes; Pearson r=0.86","4","1","1","?","1","5","4","condition","none","no","§4.1 and Fig. 8: Policy A across background, small distractor, large distractor, object; Pearson=0.86","Each axis aggregates multiple edited scenes/tasks; the four axes are intentionally selected, not sampled.","yes","condition","no","unsupported","unsupported","unsupported","This is a four-condition description for one checkpoint, not an estimate for a population of perturbations.","1","5","?","4","training_runs|generalization_axis_stated|inference_fields"
"Gemini/Veo","2512.10675v2","blind-b","2026-07-23","ood-background-policies","Five policy checkpoints under background shift; Pearson r=0.91","5","5","1","?","5","5","1","checkpoint","none","no","§4.2 and Fig. 9: five OOD checkpoints; Background Pearson=0.91","Task and color variants are aggregated within each checkpoint point; no checkpoint population is defined.","yes","policy|condition","no","unsupported","unsupported","unsupported","The fixed five-checkpoint panel under one perturbation axis is descriptive.","1","5","?","1","training_runs|generalization_axis_stated|inference_fields"
"Gemini/Veo","2512.10675v2","blind-b","2026-07-23","ood-small-distractor-policies","Five policy checkpoints under small-distractor shift; Pearson r=0.86","5","5","1","?","5","5","1","checkpoint","none","no","§4.2 and Fig. 9: Small distractor Pearson=0.86","Multiple scene/task instances are averaged per policy checkpoint, and checkpoint sampling is not defined.","yes","policy|condition","no","unsupported","unsupported","unsupported","This supports the displayed checkpoints under the selected condition only.","1","5","?","1","training_runs|generalization_axis_stated|inference_fields"
"Gemini/Veo","2512.10675v2","blind-b","2026-07-23","ood-large-distractor-policies","Five policy checkpoints under large-distractor shift; Pearson r=0.77","5","5","1","?","5","5","1","checkpoint","none","no","§4.2 and Fig. 9: Large distractor Pearson=0.77","No independent run replication or target policy population is stated.","yes","policy|condition","no","unsupported","unsupported","unsupported","The coefficient is a finite checkpoint comparison under one selected shift.","1","5","?","1","training_runs|generalization_axis_stated|inference_fields"
"Gemini/Veo","2512.10675v2","blind-b","2026-07-23","ood-object-policies","Five policy checkpoints under novel-object shift; Pearson r=0.56","5","5","1","?","5","5","1","checkpoint","none","no","§4.2 and Fig. 9: Object Pearson=0.56","The five checkpoints and novel objects are selected evaluation cases, without a sampling design.","yes","policy|condition","no","unsupported","unsupported","unsupported","The coefficient is descriptive for five checkpoints under the object-shift panel.","1","5","?","1","training_runs|generalization_axis_stated|inference_fields"
"DreamDojo","2602.06949v1","blind-b","2026-07-23","fruit-packing-checkpoints","Real versus DreamDojo success rates across training checkpoints of one GR00T N1.5 variant; Pearson r=0.995","6","6","1","?","6","1","20","checkpoint","none","partial","§4.7 and Fig. 5(a): different checkpoints; 20 scenes averaged per checkpoint; figure shows six labeled points A–F; r=0.995","The checkpoint set is selected from one training trajectory; independent training runs and a checkpoint population are not documented.","yes","policy","no","unsupported","unsupported","unsupported","The high r is a finite checkpoint-selection result on one task and does not support new-policy or new-task claims.","1","1","?","20","training_runs|selection_rule|generalization_axis_stated|inference_fields"
"dWorldEval","2604.22152v1","blind-b","2026-07-23","libero-single-view","LIBERO single-view policy/checkpoint × task points; dWorldEval Pearson r=0.860","15","5","1","?","5","3","0","checkpoint|task","none","no","Fig. 7(a) image: Ours r=0.860, MMRV=0.013; Fig. 6/legend shows five π0 checkpoints and three LIBERO suites","The points are checkpoints from one base policy; independent training runs are not established.","yes","policy|task","no","unsupported","unsupported","unsupported","The 15-cell checkpoint-by-suite panel is finite and lacks a task/checkpoint sampling mechanism.","1","3","?","0","training_runs|generalization_axis_stated|inference_fields"
"dWorldEval","2604.22152v1","blind-b","2026-07-23","libero-multiview","LIBERO multi-view policy/checkpoint × task points; Pearson r=0.910","15","5","1","?","5","3","0","checkpoint|task","none","no","Fig. 7(b) image and §4.3: r=0.910","The figure does not claim independently trained checkpoint replicates or sampled task suites.","yes","policy|task","no","unsupported","unsupported","unsupported","This is a fixed crossed panel over five checkpoints and three suites.","1","3","?","0","training_runs|generalization_axis_stated|inference_fields"
"dWorldEval","2604.22152v1","blind-b","2026-07-23","robotwin-heterogeneous","RoboTwin real-execution versus generated success rates across heterogeneous policies/tasks; Pearson r=0.927","?","3","3","?","?","?","0","crossed","none","no","Fig. 7(c) and §4.3: π0, DexVLA, DP; RoboTwin r=0.927","The exact point and task counts are visible only as plotted markers and are not enumerated in text; training runs are not documented.","yes","policy|task","no","unsupported","unsupported","unsupported","Heterogeneous architectures broaden the finite panel but do not create a policy or task sampling design.","3","?","?","0","displayed_points|training_runs|checkpoints|tasks|generalization_axis_stated|inference_fields"
"dWorldEval","2604.22152v1","blind-b","2026-07-23","real-world-heterogeneous","Physical real-world task success versus generated estimates across heterogeneous policies/tasks; Pearson r=0.918","?","3","3","?","?","?","0","crossed","none","no","Fig. 7(d) and §4.3: real-world r=0.918; legend identifies heterogeneous policies and task markers","The exact number of plotted real-world policy-task cells is not textually enumerated; no target population is defined.","yes","policy|task","no","unsupported","unsupported","unsupported","The real-world panel is descriptive evidence over the shown cases, not superpopulation inference.","3","?","?","0","displayed_points|training_runs|checkpoints|tasks|generalization_axis_stated|inference_fields"
"WEAVER","2606.13672v2","blind-b","2026-07-23","weaver-ft-policy-task","Real versus imagined success rates for base and finetuned π0.5 across five tasks; Pearson r=0.870","10","2","1","?","0","5","0","policy|task","none","no","§5.2.1 and Fig. 6; Appendix Table 8/Fig. 12: two policy qualities × five tasks; Pearson=0.870","The paper denotes Pearson with rho in prose; the two policy variants share lineage and no independent runs are documented.","yes","policy|task","no","unsupported","unsupported","unsupported","The ten fixed policy-variant-by-task cells support finite-panel evaluation only.","1","5","?","0","training_runs|coefficient_axis|generalization_axis_stated|inference_fields"
"PlayWorld","2603.09030v3","blind-b","2026-07-23","diverse-policy-task-panel","Real versus PlayWorld success rates across diverse policy architectures, training mixtures, and tasks; Pearson r=0.8766","?","?","?","?","?","?","0","crossed","none","no","§4.4 and Fig. 7: Pearson=0.8766; caption says diverse policies (architectures, training mixtures, and tasks); 20 real and 50 simulated trials per policy","The source text near the headline coefficient does not enumerate the plotted policy-task cells or lineage/run relationships.","yes","policy|task","no","unsupported","unsupported","unsupported","The figure establishes a finite displayed association but leaves the inferential unit counts underdocumented.","?","?","?","0","displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|generalization_axis_stated|inference_fields"
"EmbodiedSplat","2509.17430v2","blind-b","2026-07-23","polycam-meshes","Simulation versus real success across four pretrained/fine-tuned policy variants evaluated with Polycam meshes; SRCC=0.976","4","4","2","?","0","1","1","policy|condition","none","no","Fig. 1 image: SRCC (Poly)=0.976; legend shows HM3D/HSSD zero-shot and fine-tuned policy variants","The paper calls this SRCC without expanding the exact correlation formula here; fine-tuned variants may share bases and run counts are absent.","yes","policy|condition","no","unsupported","unsupported","unsupported","The coefficient describes four fixed policy variants under one mesh construction condition.","2","1","?","1","training_runs|coefficient_axis|generalization_axis_stated|inference_fields"
"EmbodiedSplat","2509.17430v2","blind-b","2026-07-23","dn-meshes","Simulation versus real success across four pretrained/fine-tuned policy variants evaluated with DN meshes; SRCC=0.866","4","4","2","?","0","1","1","policy|condition","none","no","Fig. 1 image: SRCC (DN)=0.866; legend shows HM3D/HSSD zero-shot and fine-tuned variants","SRCC formula and independent training-run counts are not established in the cited passage.","yes","policy|condition","no","unsupported","unsupported","unsupported","The four-point correlation is a finite comparison under the DN mesh condition.","2","1","?","1","training_runs|coefficient_axis|generalization_axis_stated|inference_fields"
"MolmoSpaces","2602.11337v2","blind-b","2026-07-23","pick-policies","Benchmark versus real-world performance across eight policy variants for pick; Pearson r=0.96","8","8","4","?","0","1","0","policy","CI","no","Fig. 11 and §5.2: Pick R=0.96 [0.92,0.98]; text says Pearson 0.96; eight legend entries; Spearman also reported","Figure caption calls R coefficient of determination while prose calls it Pearson, creating a notation ambiguity; CI method is not fully specified in nearby text.","yes","policy","no","unsupported","unsupported","unsupported","Even with an interval, the target policy population and sampling mechanism are not defined.","4","1","?","0","base_lineages|training_runs|uncertainty_on_r|fact_ambiguity|generalization_axis_stated|inference_fields"
"MolmoSpaces","2602.11337v2","blind-b","2026-07-23","open-policies","Benchmark versus real-world performance for the available open-task policies; reported R=0.85 [0.57,0.99]","?","?","?","?","0","1","0","policy","CI","no","Fig. 11 Open panel and §5.2: R=0.85 [0.57,0.99], Spearman 0.40","The local text says fewer real episodes and does not enumerate the exact policy points; R notation conflicts with prose's Pearson terminology.","yes","policy","no","unsupported","unsupported","unsupported","The interval does not supply a defined policy target population.","?","1","?","0","displayed_points|policy_models|base_lineages|training_runs|uncertainty_on_r|generalization_axis_stated|inference_fields"
"MolmoSpaces","2602.11337v2","blind-b","2026-07-23","close-policies","Benchmark versus real-world performance for the available close-task policies; reported R=0.97 [0.62,1.00]","?","?","?","?","0","1","0","policy","CI","no","Fig. 11 Close panel and §5.2: R=0.97 [0.62,1.00], Spearman 1.00","Exact policy count and R/Pearson nomenclature are ambiguous in the source passage.","yes","policy","no","unsupported","unsupported","unsupported","This remains a finite available-policy comparison rather than population inference.","?","1","?","0","displayed_points|policy_models|base_lineages|training_runs|uncertainty_on_r|generalization_axis_stated|inference_fields"
"Mem-World","2606.18960v2","blind-b","2026-07-23","two-policy-five-task-grid","Mem-World versus real success for π0 and π0.5 across five tasks; Pearson r=0.97","10","2","2","?","0","5","0","policy|task","p-value","no","§4.2 and Fig. 4: π0 and π0.5, five tasks, r=0.97, p<0.001","Post-training is documented but independent run replication and a task sampling population are not.","yes","policy|task","no","unsupported","unsupported","unsupported","The p-value accompanies a fixed ten-cell policy-task grid without a stated superpopulation.","2","5","?","0","training_runs|generalization_axis_stated|inference_fields"
