paper,coefficient_id,arxiv_version,coefficient_scope,displayed_points,policy_models,base_lineages,training_runs,checkpoints,tasks,conditions,coefficient_axis,uncertainty_on_r,selection_rule,finite_panel_description,generalization_axis_stated,target_population_defined,new_policy_inference,new_task_inference,crossed_inference,k_policy,k_task,k_run,k_condition,source_passage,fact_ambiguity,interpretive_note,coder_id,coding_date,judgment_fields
PolaRiS,main-policy-correlation,2512.16881v2,"Four pre-specified policies evaluated at 1k-step checkpoints",4,4,4,4,4,?,0,"policy",none,yes,yes,"policy|condition",no,unsupported,unidentified,unsupported,4,?,4,0,"Evaluation section; main correlation figure","The entering checkpoints are selected by a stated rule, but four named policies and six unseen paired environments are not sampled from defined target populations.","Pre-specification protects against checkpoint cherry-picking; it does not support new-policy or new-environment population inference.",auditor-main,2026-07-23,"tasks|generalization_axis_stated|new_task_inference"
SC3-Eval,Fig4,2606.18610v3,"Table 1/Fig. 4 correlations use checkpoint-success-criterion pairs within each task split",21,7,1,?,7,1,3,"checkpoint|condition",none,no,yes,"policy|task",no,unsupported,unsupported,unsupported,1,1,?,3,"Secs. 4.1-4.2; Fig. 4; App. A.2","The paper enumerates seven pi0.5 checkpoints but gives no schedule or criterion for choosing them, and it claims evaluator generalization to held-out policies/tasks without target populations.","Checkpoint and criterion are coefficient axes; the stated inferential targets are policy and held-out task, neither of which receives population-level support.",auditor-main,2026-07-23,"training_runs|selection_rule|generalization_axis_stated|new_policy_inference|new_task_inference"
WorldEval,headline-mean,2505.19017v1,"Headline reports an average of per-task correlations over four policies and five tasks",20,4,4,?,0,5,0,"policy|task|mean-of-correlations",none,no,yes,"policy|task",no,unsupported,unsupported,unsupported,4,5,?,0,"Evaluation section; Table 1; multi-task correlation figures","A pooled pixel reconstruction gives r=0.926, whereas the printed 0.942 is an average of task-level coefficients. The Strike panel geometry is incompatible with its r=0.887 label; figure and table assign MMRV=0.133 to different tasks; sibling figures plot inconsistent real values for the same policy-task cell.","The mean of task-level correlations and a pooled 20-cell correlation are different estimands, and several displayed source values are internally inconsistent; neither axis has a defined target population.",auditor-main,2026-07-23,"training_runs|generalization_axis_stated"
A Practical Recipe,rank-table-correlations,2606.10366v1,"Five VLAs compared through correlations reported across eleven rank tables rather than one scatter",5,5,5,?,0,?,11,"policy|condition|mean-of-correlations",none,no,yes,"policy|condition",no,unsupported,unidentified,unsupported,5,?, ?,11,"Evaluation correlation tables; eleven environment/dimension rankings","The paper reports a family of table-derived correlations; tasks/environments differ across tables and no single universal point count applies.","Each table gives a finite five-policy ranking comparison. Summarizing the family does not license inference to future policies or tasks.",auditor-main,2026-07-23,"training_runs|tasks|generalization_axis_stated|new_task_inference"
Cosmos-Surg-dVRK,Fig4,2510.16240v2,"Fig. 4 pools three policies by two training stages by four tasks",24,6,3,3,6,4,2,"policy|checkpoint|task",p-value,no,yes,"policy|task",no,unsupported,unsupported,unsupported,3,4,3,2,"Sec. 5.2; Fig. 4","The source names early/late checkpoint IDs for three lineages but does not state why those checkpoints were selected; no superpopulation is defined.","Policy-block and task-block readings answer different questions; neither receives population-level support from the pooled p-value.",auditor-main,2026-07-23,"selection_rule|generalization_axis_stated"
Gemini/Veo,main-correlation,2512.10675v2,"Correlation figure compares eight policy variants derived from a GROD base after aggregation over five tasks",8,8,1,?,0,5,0,"policy|variant|task-aggregate",none,no,yes,policy,no,unsupported,unidentified,unidentified,1,5,?,0,"Evaluation section; Fig. 4","The source does not establish independence of the eight variants or a target policy population; pixel-recovered r≈0.888 is only an approximate visual match to the printed 0.88. Separate OOD panels have different condition-based structures.","The nominal coefficient's points are task-aggregated policy variants, so task is not a generalization axis for this row.",auditor-main,2026-07-23,"training_runs|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference"
DreamDojo,Fig5a,2602.06949v1,"Fig. 5a correlates checkpoints of one GR00T N1.5 fruit-packing policy",6,6,1,1,6,1,20,"checkpoint|condition",none,no,yes,policy,no,unsupported,unidentified,unidentified,1,1,1,20,"Sec. 5.2; Fig. 5a","Twenty scenes are averaged within each checkpoint for one fixed task and do not define a target scene or task population.","The checkpoint panel is used to claim reliability for policy evaluation, but it does not identify task or crossed inference.",auditor-main,2026-07-23,"generalization_axis_stated|new_task_inference|crossed_inference"
dWorldEval,Fig7a-LIBERO,2604.22152v1,"Fig. 7a headline LIBERO comparison uses checkpoints of a base pi0 policy across three tasks",?, ?,1,?, ?,3,0,"checkpoint|task",none,no,yes,"policy|task",no,unidentified,unsupported,unsupported,1,3,?,0,"Secs. 4.2.3 and 4.3; Figs. 6-7","The source also reports heterogeneous-policy correlations in other domains; the exact headline point count is not textually stated.","The selected headline is not the only coefficient structure in the paper and should not be generalized to all dWorldEval analyses.",auditor-main,2026-07-23,"displayed_points|policy_models|training_runs|checkpoints|new_policy_inference"
WEAVER,WEAVER-FT,2606.13672v2,"Headline scatter pools two policies across five tasks; the advertised 0.870 is Spearman",10,2,2,2,0,5,0,"policy|task",none,no,yes,"policy|task",no,unsupported,unsupported,unsupported,2,5,2,0,"Evaluation section; WEAVER-FT correlation panel","The body calls 0.870 Pearson, but recovered points give Spearman 0.870 and Pearson 0.863.","The finite ten-cell rank association reproduces, but the metric is mislabeled and neither axis has a defined target population.",auditor-main,2026-07-23,"generalization_axis_stated"
PlayWorld,main-correlation,2603.09030v3,"Main policy-evaluation correlation compares eighteen separately trained policy entries spanning architectures, training mixtures, and tasks",18,18,?,18,0,?,0,"policy|task",none,no,yes,"policy|task",no,unsupported,unsupported,unsupported,18,?,18,0,"Policy-evaluation section; main correlation figure","The source documents distinct trained entries spanning tasks but does not define a sampling frame for policies or tasks.","Eighteen entries improve finite-panel stability but do not convert a convenience benchmark roster into policy or task population inference.",auditor-main,2026-07-23,"base_lineages|tasks|generalization_axis_stated|new_task_inference"
EmbodiedSplat,Polycam,2509.17430v2,"Polycam-mesh panel compares four policy variants",4,4,2,?,0,1,0,"policy|variant",none,yes,yes,policy,no,unsupported,unidentified,unidentified,2,1,?,0,"Sim-to-real correlation figure; Sec. 4","The four points contain two base lineages and sibling fine-tunes; the printed statistic labeled SRCC reproduces as Pearson, not Spearman.","The Polycam coefficient is a finite four-variant navigation comparison; it does not state task or crossed generalization.",auditor-main,2026-07-23,"training_runs|new_task_inference|crossed_inference"
EmbodiedSplat,DN,2509.17430v2,"DN-mesh panel compares four policy variants",4,4,2,?,0,1,0,"policy|variant",none,yes,yes,policy,no,unsupported,unidentified,unidentified,2,1,?,0,"Sim-to-real correlation figure; Sec. 4","The four points contain two base lineages and sibling fine-tunes; the printed statistic labeled SRCC reproduces as Pearson, not Spearman.","The DN coefficient is a finite four-variant navigation comparison; it does not state task or crossed generalization.",auditor-main,2026-07-23,"training_runs|new_task_inference|crossed_inference"
MolmoSpaces,Fig11-pick-open-close,2602.11337v2,"Fig. 11 reports separate policy correlations for pick, open, and close tasks",8,8,3-4,?,0,3,0,"policy|task|multiple-correlations","CI",yes,yes,policy,no,unsupported,unidentified,unidentified,3-4,3,?,0,"Sec. 5.2; Fig. 11","The source identifies fixed released zero-shot model artifacts; task panels have different episode support and policy availability, and the figure's R terminology conflicts with the prose.","The fixed released artifacts disclose the model-state rule; the intervals quantify finite policy-panel correlations without task or crossed population inference.",auditor-main,2026-07-23,"base_lineages|training_runs|selection_rule|generalization_axis_stated|new_task_inference|crossed_inference"
Mem-World,Fig4,2606.18960v2,"Fig. 4 pools two post-trained policies across five tasks",10,2,2,2,0,5,0,"policy|task",p-value,yes,yes,"policy|task",no,unsupported,unsupported,unsupported,2,5,2,0,"Sec. 4.2; Fig. 4","The source states the fixed post-training checkpoints entering the comparison but does not define policy or task target populations.","The checkpoint rule is disclosed; the printed pooled p-value still does not establish generalization to new policies or new tasks.",auditor-main,2026-07-23,"selection_rule|generalization_axis_stated"
Colosseum V2,Fig7,2605.27759v1,"Fig. 7 reports per-task simulation-hardware association across perturbations and averages metrics over three tasks",18,1,1,1,0,3,6,"condition|task|mean-of-correlations",none,yes,yes,condition,no,unidentified,unidentified,unidentified,1,3,1,6,"Secs. IV-C and V-E; Fig. 7","The prose names five conditions while the figure and source arrays contain six.","The result claims perturbation-order prediction for one fixed multitask policy, not new-policy, new-task, or crossed population inference.",auditor-main,2026-07-23,"conditions|new_policy_inference|new_task_inference|crossed_inference"
VISER,Table5-Octo,2605.06311v1,"Table 5 reports an across-task Pearson correlation for fixed Octo",4,1,1,?,0,4,0,"task",none,not-applicable,yes,task,no,unidentified,unsupported,unidentified,1,4,?,0,"Sec. 6.2; Table 5","The Octo task roster has four tasks and differs from OpenVLA's five-task roster; real-side values are reused from prior work without clear attribution.","This component coefficient describes tasks for one fixed policy; the advertised across-policy claim belongs to the mean of the Octo and OpenVLA coefficients.",auditor-main,2026-07-23,"training_runs|new_policy_inference|crossed_inference"
VISER,Table5-OpenVLA,2605.06311v1,"Table 5 reports an across-task Pearson correlation for fixed OpenVLA",5,1,1,?,0,5,0,"task",none,not-applicable,yes,task,no,unidentified,unsupported,unidentified,1,5,?,0,"Sec. 6.2; Table 5","The OpenVLA task roster has five tasks and differs from Octo's four-task roster; headline 0.92 is the unweighted mean of the two correlations.","This component coefficient describes tasks for one fixed policy; the advertised across-policy claim belongs to the mean of the two component correlations.",auditor-main,2026-07-23,"training_runs|new_policy_inference|crossed_inference"
OSCAR,Fig1-Skeleton,2606.04463v2,"Front-page Skeleton evaluator correlation compares seven RoboArena policy entries",7,7,2-7,?,0,?,0,"policy",none,no,yes,policy,no,unsupported,unidentified,unidentified,2-7,?, ?,0,"Fig. 1; evaluation section","Five PaliGemma entries are siblings and two pi0 entries share a family; the policy/session roster is pinned, but no checkpoint/model-state rule is stated and not all printed rank metrics reproduce.","Pinned leaderboard sessions are not a checkpoint-selection rule; the effective policy-block count depends on the future-policy estimand.",auditor-main,2026-07-23,"base_lineages|training_runs|tasks|selection_rule|new_task_inference|crossed_inference"
Hi-WM,Fig6a,2604.21741v2,"Fig. 6a pools three tasks across four variants of two policy lineages",12,4,2,?,0,3,0,"policy|task|variant",none,no,yes,"policy|task",no,unsupported,unsupported,unsupported,2,3,?,0,"Sec. 5; Fig. 6a; Table 2","Raster-extracted points reproduce r approximately, but Fig. 6a real-axis values conflict with Table 2 and the reconciliation protocol is unstated.","The finite 12-cell coefficient is recoverable from the figure, while the internal source inconsistency blocks a clean protocol-level reproduction.",auditor-main,2026-07-23,"training_runs|generalization_axis_stated"
WM-PolicyEval,Fig6b-Cosmos,2511.11520v3,"Cosmos evaluator panel pools three policies across four Bridge tasks",12,3,2-3,?,0,4,0,"policy|task",none,no,yes,"policy|task",no,unsupported,unsupported,unsupported,2-3,4,?,0,"Sec. 4; Fig. 6b","Vector-extracted points give Pearson 0.719, not printed 0.687; two Octo sizes may be treated as siblings or separate deployed policies.","The plotted finite panel is reproducible, but its printed coefficient is not; policy-block sensitivity must state whether Octo sizes are separate.",auditor-main,2026-07-23,"base_lineages|training_runs|generalization_axis_stated"
WM-PolicyEval,Fig6b-IRASim,2511.11520v3,"IRASim evaluator panel pools three policies across four Bridge tasks",12,3,2-3,?,0,4,0,"policy|task",none,no,yes,"policy|task",no,unsupported,unsupported,unsupported,2-3,4,?,0,"Sec. 4; Fig. 6b","Vector-extracted points give Pearson 0.277, irreconcilable with printed 0.613; two Octo sizes may be treated as siblings or separate deployed policies.","The plotted finite panel is reproducible, but its printed coefficient is not; no inferential interpretation repairs the transcription discrepancy.",auditor-main,2026-07-23,"base_lineages|training_runs|generalization_axis_stated"
